"order","item","participant","cont_pred1","cont_pred2","binary_pred","out"
3,31,2,0.511839606971179,0.983205767596333,0,0
4,13,2,-1.06521137887021,0.803725613340133,0,1
5,29,2,-1.02626021552688,0.633613590637604,1,0.0182353919249373
6,50,2,-0.404578409095955,1.09972550083836,1,0.039418986184315
7,42,2,-0.440061352143806,1.09185866644892,1,0.0874512710966786
8,45,2,-0.285476926433819,-1.25724418801331,1,0.186385172655841
9,43,2,-1.57892969544575,-0.272517913891991,1,0.313169702756387
10,53,2,-0.516954742889489,0.108753663590375,1,0
11,54,2,2.26688069533334,-1.2897948417233,1,0.502971526510926
12,8,2,1.09113849067869,-0.401985605835436,0,0.132749788923627
1,58,2,-0.1406669517439,-0.186392811665437,1,0
2,7,2,2.74710628029219,2.00199230576506,0,0.0578639724480731
3,36,2,-0.0871774762395394,1.41785326856905,0,0.0656642983190872
4,30,2,0.107679191530267,-0.721149948097252,1,1
5,32,2,0.776601254962638,1.29211043512337,1,0
6,9,2,0.805278754007297,0.279870234058897,1,0.136988219062543
7,49,2,0.258425529575574,2.35022239074811,0,0
8,6,2,-0.107731722244869,0.222118043090263,1,0.53242294923266
9,16,2,0.323458073278494,-0.337475698277587,0,0.0690413425369341
10,17,2,-0.915486420234087,-0.545253637940699,0,0.118799144300225
11,10,2,2.43144221494881,2.4399271240571,1,0.0943478832349588
12,28,2,-2.3448149845773,-0.313506844943307,0,0.0144455764830291
1,23,2,1.50416868274508,0.220342367234468,1,0
2,12,2,-0.766762444551158,0.182901771773304,0,1
3,26,2,0.431640305123287,-1.28754462804985,1,0.518155683919551
4,39,2,2.07703077093582,-0.326692850387132,1,0.450462847316283
5,24,2,-0.318329431428821,-0.530675527102082,1,0
6,20,2,-0.912248061927914,1.85745687065926,0,0.0136973265977798
7,2,2,0.32384200094143,0.535515793026051,0,0.194600314529655
8,4,2,-0.924418059207515,1.31448577924854,1,0
9,47,2,-3.39318181974979,-0.0019408435471613,1,0
10,1,2,-0.48052091066312,1.22874749833336,0,0.0679353360918874
11,51,2,-0.399631576571161,1.14876779667872,0,1
12,34,2,-2.19205323773379,0.0593220603044051,1,0
1,46,2,0.882077481600741,-0.079168529905279,1,1
2,14,2,-0.85930141343602,-1.7242048475999,0,1
3,48,2,-0.887252838781331,-0.501920279631338,1,0.164173796981432
4,22,2,-1.62040850754054,-1.97417572012682,0,0.148286479841147
5,56,2,0.306341983462898,0.149299418521862,1,1
6,35,2,-0.578055632247197,0.00838609934418993,0,0.0954632984705666
7,19,2,2.02102151700357,0.204649012208201,0,0
8,41,2,-0.953089078463223,1.88437210845174,0,0.133835823869569
9,52,2,-0.41791120292455,-1.42541614849933,1,0.506423779621304
10,11,2,1.34448758651361,-1.21770999797177,0,0.0977785100517176
11,21,2,-1.42127109358944,-0.238126412851419,1,0.100332530905508
12,25,2,-0.387888227537008,1.3089313821118,1,0.169095290060846
1,57,2,-0.226813977069505,-0.162035162010953,0,1
2,5,2,-0.696125340105093,1.56867396639016,0,1
3,37,2,2.93567212215006,-0.530269323663493,1,0.450122710382513
4,27,2,1.36504776586361,0.71615527844793,0,0.217896677545809
5,55,2,1.52569970871982,0.785167956377367,0,0.0465994921643
6,40,2,-1.33302830605916,2.12014379133931,1,0.10783278620613
7,3,2,-0.82956770512831,1.50584788209636,0,1
8,15,2,0.175102859897658,1.0841734671269,1,0
9,44,2,-0.633232755854431,-0.0161156132862978,0,0.28712060088622
10,59,2,-0.603859436422628,-0.79202480687763,1,0.209202051472985
11,33,2,0.871224011390995,0.414541780503766,1,0.270986221531138
12,18,2,1.10217586378717,-1.92819889683947,0,0
1,32,3,0.439340682289957,-1.93694367249311,0,0.832287614893063
2,45,3,0.901326285657355,-0.629590347812453,0,0
3,8,3,1.10724977006916,0.52938664923698,1,0
4,30,3,0.755275258919766,-0.537563087754072,1,0
5,48,3,-1.33593053076972,0.162818914009935,0,0.193845596989686
6,43,3,0.811554125409641,0.787048235958567,1,0.66234235878136
7,29,3,0.764534634765481,0.0267650996230635,1,0.149702346829899
8,24,3,2.94227211334129,0.337965588261816,0,0
9,6,3,0.547358449869479,0.330012775226305,1,0.825286228407822
10,14,3,-0.0730943488914946,-0.457022713689206,1,0.64229821864243
11,49,3,0.392506014623851,-1.63921645430729,1,0.794140985719239
12,46,3,0.144625503929096,-0.591393153864779,1,0
1,47,3,0.449836908134811,-1.50165935593139,0,0.746401203302492
2,16,3,-0.56736665192759,-0.271568245828372,1,0.232422959626884
3,40,3,1.08823108089394,-0.153395644615285,1,0.795215523964536
4,22,3,-0.703313150647751,-0.420881592022313,1,0.354129858280841
5,10,3,-1.19290803473171,-0.970349269388487,0,0.326103723266996
6,19,3,3.29042710859297,0.880068729342559,0,0
7,44,3,0.544161805308704,-1.01219542416763,1,0
8,57,3,0.850912885781159,-0.587794001935906,0,1
9,5,3,-0.734757879059288,-1.47392127650608,1,0
10,13,3,-0.383493166114414,0.295266400657811,1,0.386706936279402
11,50,3,-0.937216151504402,0.887939094643339,0,0.0762460847807511
12,12,3,-0.54862514465508,0.190623747519683,1,0
1,20,3,0.748384122837969,-1.08580642273721,1,0.457249409890237
2,58,3,-1.06752152482797,-0.690498876810139,1,0.575919612049787
3,11,3,0.523212951952344,-1.05243554049723,0,0
4,18,3,-0.47455845472756,-1.1359629699032,0,0.183511703604054
5,1,3,1.53331664692319,-0.862358054690525,0,0.64538699459808
6,36,3,0.70487185376528,0.831695742129094,1,1
7,54,3,2.2815489221389,-0.560765620611873,1,0.697994302332119
8,38,3,-0.57756358525173,2.33043613888385,1,0.544379123537667
9,15,3,-0.319881079084895,1.11978426227872,0,1
10,56,3,-0.0322140298387293,1.06781902829365,1,0.708393890683834
11,21,3,-2.17893502840242,1.45337701653781,0,0
12,4,3,-0.304739515150931,1.46848546577758,1,0.250217155489906
1,35,3,0.142499454418028,-1.29420312411241,0,0
2,28,3,-0.235842195031912,-0.74088010679785,0,0.122379305070521
3,60,3,1.01795777023069,0.0639650594437976,1,0.281648585230252
4,42,3,-0.289605083716291,-0.576397437868154,1,0
5,7,3,-0.140628974997503,0.667561596093185,0,0.149066538480574
6,23,3,-0.661585949236879,1.18871042692735,0,0.546559173549878
7,53,3,-1.706169439037,1.20537987926606,0,0.14873541794372
8,25,3,1.64314965385219,-1.82514825970304,0,0.852886338061953
9,41,3,-1.46103225150433,0.689970423654539,1,0.605769251670502
10,52,3,1.40236616026712,-0.269135124429146,0,0
11,27,3,0.998940263562617,1.46661538698806,0,0
12,39,3,1.97179409419638,-0.952275445396879,0,0.710513318962187
1,2,3,-0.101039894065002,-0.496819897963906,0,0.576510380495245
2,51,3,-1.38780373315861,-0.556550681234077,0,0.207959193611832
3,3,3,-1.69664507819133,-0.717528512510738,0,0.279329852142572
4,9,3,-1.53945234763735,1.0556113462985,1,0
5,59,3,-0.775193154324258,-0.655805086033454,1,0.446881667227467
6,17,3,0.0130710774284586,-1.29203118323413,1,0.628870135464123
7,37,3,1.66403702574927,3.12287210312969,0,0.111157732721969
8,34,3,1.06444335369161,-0.898870602727995,1,0.93452611450506
9,33,3,0.367870317821682,-1.17644845013218,1,0.740190353463921
10,55,3,0.477049224628312,-0.636351314316411,0,0
11,26,3,-1.34733373403828,-0.276650212433417,1,0.525388042479882
12,31,3,-0.345829939072268,2.70783232916902,1,0.0593073588000489
1,55,4,-1.12941029728892,0.963464566964645,1,0
2,16,4,-0.0507037789812867,1.59505545334838,1,1
3,14,4,1.0061882819561,-1.07462161600057,0,0
4,31,4,-0.691682766048042,0.0903529678764517,1,0
5,5,4,0.843129021474972,-0.0621264549439668,0,0
6,50,4,0.980012565054027,1.91789210195179,0,0.0707360436720915
7,23,4,0.838238744707279,-1.05782960220164,0,0.872764302784053
8,12,4,-1.79889374480369,-1.57614844389877,1,0.790996021588123
9,25,4,-0.620913463331163,2.04576861426127,1,0.270602558284575
10,34,4,-0.266020011195229,0.705942231584287,1,0
11,39,4,0.572977242589699,-1.09110688765365,1,0
12,10,4,-1.03542276732787,-0.371758606468993,1,0.339861509572934
1,15,4,0.950511201594426,-0.0292376149326247,0,0.224410957221363
2,1,4,-0.974963389183532,-0.600696449633917,0,0.361216498170116
3,52,4,-1.11023003241568,0.281388898493431,1,0.470894990467269
4,26,4,-0.778617848278819,-1.61431082684195,0,0.615211039190704
5,48,4,-0.0329636949445854,0.450850408831577,1,1
6,56,4,0.406889516831113,0.0143967712961405,1,0.823365815140518
7,2,4,0.703187966873981,-0.911352013825887,0,0.669217306940977
8,7,4,0.213389015598557,2.45883397193787,1,0.0889264124963802
9,53,4,-0.54849824651225,0.532960066985259,1,0
10,44,4,-0.78375535541996,0.617188581539748,0,1
11,27,4,0.0980811082928248,-0.488490143382823,0,0.531341192270059
12,59,4,1.02441703796222,0.50259655958629,0,1
1,33,4,0.587081343038134,0.90767162664335,0,1
2,9,4,-0.134374938963507,0.556108044870582,1,0.229522638745253
3,58,4,1.27483382513624,1.38650101752522,1,0
4,38,4,-0.523867105534099,0.16547806761581,0,0.703023499164976
5,49,4,0.456339078777063,-0.491031556607472,1,0.634015850334937
6,51,4,0.339681371143393,1.33195636768165,1,0.182459582832513
7,8,4,-0.796440988467323,-0.324280339884887,0,0.188468678928215
8,35,4,-1.98514435551484,-0.715694751962649,0,1
9,18,4,-1.4494719738317,-0.430106991250673,1,0.131075399620792
10,54,4,0.37983990819777,0.852079062376963,0,0
11,42,4,-0.0818732918542068,-0.804060789541904,0,0.3874376104578
12,43,4,-2.14875143296017,0.779566865515989,1,0.379449797603972
1,57,4,-0.506411205549664,0.0913027649826331,0,0.165931825363315
2,41,4,-1.38196146120122,0.0444445756186558,1,0.670519774581988
3,22,4,-0.593164028576026,-0.390323163251569,1,0.328553682227786
4,3,4,-0.723393835439514,-0.655553973264392,1,0.430858058482738
5,30,4,-1.42007697939032,0.292828405720193,1,0.194100399796242
6,45,4,-0.109118972205877,1.62417061067096,0,0.0746992323193255
7,17,4,0.669762409633038,0.0303535974353723,0,0
8,4,4,-0.391817238374058,0.513558374628646,1,0.334257437518136
9,29,4,-0.887912968691536,-1.43022493761024,0,0.111539013035399
10,32,4,-1.51198321683971,0.0261888643190473,1,0
11,6,4,0.0684740729011031,0.418016503286173,1,0.768196099493386
12,28,4,0.130619061829254,-0.205587306458015,1,1
1,46,4,0.647215160627445,0.299281826708064,1,0.238320674194116
2,47,4,0.405409759413501,1.89739408176443,0,0.247966361534928
3,60,4,2.65446071342196,0.457245433996875,1,0.324425587785439
4,40,4,0.336363460930087,1.60696158499157,1,1
5,20,4,-0.629644419705269,1.35154883254412,1,1
6,13,4,1.62031244587981,-0.454993950541339,1,0
7,19,4,-0.0920524103566193,1.13756486305588,1,0
8,21,4,-0.0301686464459003,-0.530607170886601,0,0.287611122642864
9,37,4,0.784920274751287,-1.38351642275066,0,0.545661546287104
10,24,4,0.188580740311208,-2.26293634802975,1,0.79125280643241
11,11,4,-0.0556692887231724,0.859312101399867,0,0
12,36,4,-0.665195630934775,1.41560091094148,0,0.150320558984745
1,39,5,0.260482350782515,-2.13668885406292,1,0.689623479726224
2,20,5,0.370512457523301,0.80770704978466,0,0.0659279079921036
3,6,5,2.00298734081234,-0.862686098308463,0,0.827278788735803
4,25,5,1.0249642313454,1.55263157531437,1,0.332517713080983
5,3,5,1.10394567840173,-0.502975063883766,1,0
6,51,5,0.0932476663713897,0.292263056952319,0,0.115127943361743
7,55,5,1.58109865122761,-0.0493506869044703,1,0.189787756331817
8,2,5,0.76982867139131,1.52020773468774,1,0.308283590156127
9,40,5,0.770480411685927,0.818770509609689,0,0.366081350984769
10,22,5,0.348509555300511,0.72180264283302,0,0.106251537520803
11,33,5,0.433275616546801,0.886343841519208,1,0.293378188326887
12,59,5,-1.61848449426661,-1.28478852989916,0,0.207140660633027
1,5,5,1.3971347402358,0.222783045274319,1,1
2,21,5,1.136934592733,-1.03384640666751,1,0.431980205303608
3,50,5,-0.658527980745137,-0.172286736092993,1,0.122173049658533
4,36,5,1.31994447322144,1.44570216142673,0,0.163482385370888
5,52,5,0.104607924531758,0.749761162615711,1,0.365963386757088
6,10,5,-1.50078082926238,-2.24555013156214,0,0.31438381766794
7,32,5,-1.44176410619365,0.0856607568087252,0,1
8,60,5,-1.69189109178014,0.703126863245779,1,0
9,17,5,-0.0223626568926443,-1.24546192799728,0,0.326473548157031
10,27,5,-0.504260054687069,-0.335580482178917,1,0.43678326814856
11,53,5,-1.04398409425671,-0.124204517125348,0,0
12,13,5,-0.35465536079737,1.14853665388546,1,0.157858046534828
1,42,5,1.56665242106237,-0.969291767571462,0,1
2,24,5,0.539407930136834,0.122258913282372,1,0.365162737203774
3,48,5,0.844390992680635,0.617993580911522,1,0
4,38,5,-0.437670225704683,-0.445331041251491,0,1
5,37,5,-1.65329129482183,-0.24074831495958,0,0.126411171196673
6,12,5,-0.039672353995831,2.81238347032074,1,0.22034731333106
7,29,5,0.358491124885383,-0.269693383038281,0,0.0515446958834855
8,31,5,-0.474844237603477,1.10834939400685,0,0.0447639215142352
9,47,5,0.556798750107422,-0.145771615865384,0,0.399441213289071
10,8,5,2.05279153529135,-1.25120282645546,0,0.381355729252816
11,18,5,0.353457459434878,-1.00869678448221,0,0.120204399182402
12,34,5,-0.914811273300572,0.31236206444121,0,0.506924999471734
1,44,5,-1.92591311628783,-0.183453682082051,1,0
2,54,5,1.00828746655259,0.00922477683473498,1,0
3,9,5,0.0343758423884463,0.454588322601683,1,0.158660904525854
4,30,5,-2.14250231044614,-1.1560586161397,0,0
5,45,5,-1.04525865839583,-0.2899346420202,1,0
6,4,5,0.730582844894198,-0.844676643870222,0,0.363917267351739
7,58,5,-1.64135892656485,1.7790038275398,1,0
8,41,5,-1.97715079071088,-1.10558702791028,0,0.528730321192584
9,16,5,2.40023493165417,1.40814620665385,1,0.132957799334486
10,56,5,-1.17363704518296,-0.136028325495286,1,0.622271068601249
11,19,5,-0.649788601936814,-0.818633377325341,1,0.864963651789641
12,11,5,0.0107029519936759,1.52969105458925,1,0.0358997230833404
1,26,5,-0.968231179348766,-1.19158413235143,0,0
2,49,5,-0.347737162785879,0.896752133672163,1,0.241989205356348
3,23,5,0.658301484284919,-1.07387801765706,1,0.857549429398735
4,1,5,-0.839579964757329,0.324544148226341,1,0.239569749047456
5,57,5,-2.18091483864297,-0.520403756611659,1,0
6,46,5,0.239602328396693,0.323362347503554,0,0.0834619427124116
7,15,5,0.137314691355974,1.11853795391558,0,0.0578331930093799
8,28,5,0.323660894782583,-1.254596856688,1,0
9,43,5,0.202965904140133,-1.18675798455505,0,0
10,7,5,-2.01291810214757,-0.506066890212839,1,0.129625621236291
11,14,5,0.258804964175334,2.64947907044805,0,0
12,35,5,-0.851811547563573,-0.886199484017437,1,0
1,47,6,-0.542871994381032,0.652813613567968,1,0.0965470128292233
2,52,6,-0.978859184417672,-0.293679334888678,1,0.145904990822109
3,34,6,0.752088681833023,1.0165789494726,0,0.218269834262559
4,26,6,-0.707031733855729,-1.20107651597186,0,0.142439933916235
5,33,6,0.638880994160931,-0.414585827418521,0,0
6,41,6,0.34304116177222,-0.359630609386825,1,1
7,20,6,-1.78187425925601,-1.63363495765526,0,0.0321742348592891
8,60,6,1.66625979596364,1.82510806167079,0,0.0116394113838787
9,48,6,-0.56133730509172,-0.455822853841789,0,0.0493366616654709
10,54,6,0.323229076255351,0.0382451544632833,0,0.0530191728758174
11,21,6,0.881292946600983,0.915348241827143,1,0
12,46,6,1.62071496219771,-1.68784046631167,0,0
1,9,6,0.161403518880885,0.258861938554236,1,0.0487675097127547
2,58,6,-1.2191397125601,-0.485694647850673,0,0.0727310179114641
3,32,6,-0.212385231133512,-0.356242753781718,0,0
4,44,6,0.0891555319409011,-0.341793450297241,1,0
5,4,6,0.222623961048371,-0.38070137695138,0,0.0773480272081256
6,19,6,-1.278038094107,-0.650274286166664,0,0.394574521417433
7,14,6,-2.13090368219361,0.626271220528391,0,0.0304593783664828
8,42,6,-0.14500618690893,0.246856157535116,1,0
9,7,6,-0.124201948870053,-1.4522289826318,0,0.0666149214507108
10,5,6,0.404635379245644,-2.13179134748771,1,0.263447661005469
11,23,6,-0.765337897115075,0.0805174007559028,0,0.204209187136244
12,27,6,-0.506772207778906,-2.05803849357387,1,0.334924369811842
1,8,6,0.215550163804481,-2.83565741882928,1,0.242224219468136
2,50,6,-0.67659544891302,1.09788386814434,0,0.00897051540124044
3,40,6,-0.205456152379439,-0.909050130781966,0,0.211098829442629
4,17,6,0.42838408775713,1.71098270128785,0,0.0217820143310621
5,11,6,0.122994949262471,0.489617268928525,0,0.0100360647193859
6,10,6,2.05628561685652,1.09267208124707,1,0.0757161577610513
7,37,6,-2.1536967809213,1.84658599291659,1,0
8,39,6,0.294003849801817,0.272272556123308,0,0
9,15,6,0.505651307487656,-0.248517480253569,0,0
10,56,6,-0.364152610359411,0.865267909841357,0,0
11,30,6,-0.552845968707152,2.09689812833467,1,0
12,22,6,-2.68831833236056,-1.47675069047057,0,0.0342990341044794
1,28,6,0.168823051505073,-0.605594997107446,1,0.0269828735586454
2,16,6,0.205510824185882,-0.0356765779586394,1,0.0376415022589887
3,35,6,1.2695735029943,0.770086643744179,1,0
4,36,6,1.09519854808267,-0.942888066779156,0,0.149006641867766
5,1,6,-0.88485985765695,-0.0770331014912167,1,0.0836079563655587
6,25,6,-0.585074203352909,-0.408662891182845,0,0.114262654442932
7,31,6,0.895264836530642,-1.05698268025452,0,0.060302594894234
8,29,6,-0.46314248932529,-1.18470166147251,0,0.016058686622183
9,38,6,0.594751162636407,0.0940472419685904,1,0.438945319567204
10,45,6,-1.23904640656569,-1.03513580389724,1,0.054264356380307
11,12,6,-0.138599163806935,0.139561870303496,1,0
12,6,6,-0.0441261470387607,0.733484345836461,1,0.255005215979236
1,24,6,0.114042164010985,-0.870241182655892,0,1
2,59,6,-0.175296837179618,1.03915657020138,1,0
3,51,6,-0.263329979844259,0.285873521326149,0,0.0259641432269557
4,43,6,-1.2584196227355,0.535856098202271,1,0.111491354649297
5,53,6,0.401219309841642,1.09898293796103,1,0.0679444698253729
6,55,6,0.0334934191415636,-1.20422053185393,1,0.0592732855774452
7,18,6,-1.83551546389094,-0.543837419448214,0,0.010987852081136
8,2,6,0.877115236497909,-0.159521238119461,1,0
9,49,6,0.835519848193889,-0.4783353423386,1,0
10,13,6,0.437447027853868,-0.436648838572138,0,0.0823929444325788
11,3,6,0.494380616125345,1.57965695272532,1,0.0378764848832173
12,57,6,0.948408792423296,-0.661168628477731,0,1
1,36,7,1.27043804771295,-1.61767394313338,0,0.0310857078062049
2,12,7,-0.0432690040974439,1.65787369253405,0,0.00901525859336024
3,11,7,0.0754428021797989,1.5311291746057,0,0.000613170758475611
4,14,7,-1.13073903336619,0.804236266126862,1,0.00753696831337064
5,41,7,0.776795417420346,0.696980158571254,1,0.0418787735585256
6,27,7,-0.47168559045649,0.909985577882143,0,0.00595382342694838
7,20,7,-0.945012218220561,-3.05709311073055,1,0.0194526160879617
8,54,7,-0.625345287696583,-0.146719263078624,1,0.0084352279574559
9,33,7,0.0378569698662139,0.843814184342074,1,0.00976153717972909
10,16,7,1.0400154220196,-2.39820558910823,0,0.0148483665720483
11,46,7,-1.48158504481344,0.866881944200616,0,0.000955495774341856
12,59,7,0.264648053025952,2.26348505027551,0,0
1,17,7,1.32605261253314,-0.582569968637891,1,0.0223668999933981
2,34,7,1.80484581485058,-0.283974803041288,0,0.0919378334775362
3,3,7,0.129433334193959,-0.93702289138359,1,0.017710021030581
4,21,7,0.546576313980688,0.178161798218736,1,0.00788254321949446
5,47,7,2.32560973477882,-0.890070382002757,1,1
6,9,7,0.80625388685861,0.249399955555806,0,0
7,49,7,-0.240135797894651,0.0196577457871798,0,1
8,45,7,0.744505914287785,-0.381508015546897,0,1
9,19,7,0.186889549321268,0.191745268531809,1,0.110678380487945
10,8,7,0.0292400355722319,0.502093887066774,0,0.00281043124577525
11,31,7,0.193199359692027,-0.584318476595516,0,0.00432622588485167
12,40,7,0.683442421767426,-2.0145932652785,1,0.118460089370348
1,4,7,0.126327170608797,-0.565264788615448,0,0.0103013783339037
2,35,7,-0.281170676099171,0.133364447041678,0,1
3,44,7,0.311404463207503,0.47967516252297,1,0.0305640271606379
4,55,7,1.09219433434173,0.130900171525323,1,0.00468710992020032
5,22,7,0.76197018121482,1.5248962575806,0,0.00225051279327406
6,24,7,-0.366994723512097,-0.831025573427061,1,0
7,53,7,-0.48364862181587,0.0135305535644291,1,0.0116543394745652
8,18,7,-1.47909560754322,-0.236842550534918,1,0
9,32,7,1.3132603828606,0.202015753663206,0,0
10,58,7,0.7810900060985,0.161374766587004,1,0
11,7,7,-1.17144999754744,1.48235607605296,1,1
12,30,7,-0.96683887539384,-0.832237801715804,1,0.00820570414568157
1,60,7,-0.293262208062757,0.457271152784127,1,0.00254773086302294
2,28,7,0.642571240048178,-0.949278865062425,0,0
3,10,7,-0.996778366025618,0.514905592307337,0,0.00276716750465144
4,38,7,-0.590839443679097,-0.981808141053634,0,0.0642776441855243
5,15,7,0.513940184062956,-0.754593930178496,0,0.00569471641441062
6,39,7,0.646603113893185,0.902983801797161,0,1
7,25,7,-0.333363142772071,-1.60699436956098,1,0.0519540733697225
8,5,7,0.144427825603463,-1.40859266313911,0,0.0145381047684593
9,23,7,0.158235123863926,-0.105307752148249,0,0.043577211639506
10,26,7,0.931969204594093,0.552149406807397,1,0
11,51,7,0.859690717228944,0.88472690127926,0,0.00315940759358561
12,57,7,0.310102632934888,0.613919601510179,0,0
1,2,7,0.204895461202368,-0.193551746007796,1,0.0264624158606899
2,50,7,0.139017824362145,1.61005189470065,1,0.00167568319136572
3,1,7,1.08195675207396,-0.00696537676086887,0,0.0119952079994169
4,37,7,1.52758232261581,0.786326794378848,0,0.00628307204131608
5,13,7,0.377890012384836,-1.36157485873669,1,0.0282123167834968
6,48,7,0.115932949177527,-0.240307493368028,1,0.0108360979545515
7,6,7,1.51566219984658,0.630692691500173,1,0.0673760650332655
8,56,7,0.512533666141558,-0.708979593318364,1,0
9,29,7,0.706934754048545,-0.292222183269775,1,0.00271973635719407
10,42,7,0.338558522355775,1.84791209550814,0,0.0022224854298845
11,43,7,0.319472829715256,-0.324258777209069,1,0.0402916203319502
12,52,7,-1.08861548381569,0.140106493162608,1,0.0143579014941935
1,7,8,0.334708269040243,-1.57964925763026,1,0.291338383267106
2,51,8,-0.196540686023195,1.72447747381112,0,0
3,28,8,-0.511769954593637,0.184062074176015,1,0.0361494212562862
4,21,8,-0.82922638958983,-1.31533621506898,0,0.148871784358544
5,38,8,-0.223650822602783,0.667766539330338,1,0
6,55,8,-1.71172401528893,-1.35167481322699,0,0.0588050963840405
7,14,8,-0.88015184085855,-1.47577619753359,0,0.321363871209934
8,45,8,0.725293642102105,-0.395636473770845,1,0.176484358807023
9,1,8,-0.183268227267909,1.73962690666648,0,0.0615246472193785
10,47,8,0.445102464880239,-0.075471869225718,1,0
11,60,8,0.229779455211001,1.74224065069464,1,0.0329018018683273
12,37,8,0.0798495724124111,-0.705968491869357,0,0
1,26,8,0.595726649514321,0.753658489144659,1,0.269311091362434
2,20,8,0.284023318709888,0.938550303272335,1,0.0623737253083151
3,10,8,-0.0667945872308322,-0.105647235902963,0,0
4,58,8,0.49010875832481,1.5691643528336,0,0
5,3,8,-1.33073333845001,0.768901974146882,0,0.0534932066121265
6,42,8,-0.31808801661563,1.87098027409833,0,0.0401780994275451
7,11,8,-0.942005091383883,0.813623813098238,1,0
8,8,8,0.76061697616609,0.121188155425629,0,0.0988621408297747
9,43,8,1.00039737935169,-0.65105398035094,0,0.485269377946693
10,40,8,-1.13586857329993,0.932293084787835,1,0.225335586081491
11,59,8,-0.398040886687361,0.703517570771867,1,1
12,29,8,-2.18501216926805,0.339241642310804,1,0.0160098628281585
